n,null_pct,n_unique,dtype,unhashable,zero_pct,min,max,mean,std,degenerate,file,column
146329,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_val.parquet,dbsnp_af
146329,0.0,1,float64,False,0.0,0.5,0.5,0.5,0.0,CONSTANT,meta_val.parquet,eve_score
146329,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_val.parquet,hgmd_is_disease_mutation
146329,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_val.parquet,hgmd_n_reports
146329,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_val.parquet,maxentscan_score
146329,0.0,1,int64,False,0.0,50.0,50.0,50.0,0.0,CONSTANT,meta_val.parquet,dist_to_splice_site
146329,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_val.parquet,exon_number
146329,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_val.parquet,is_canonical_splice
146329,0.0,1,float64,False,0.0,50.0,50.0,50.0,0.0,CONSTANT,meta_val.parquet,alphafold_plddt
146329,0.0,1,float64,False,0.0,0.5,0.5,0.5,0.0,CONSTANT,meta_val.parquet,solvent_accessibility
146329,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_val.parquet,secondary_structure_context
146329,0.0,1,float64,False,0.0,100.0,100.0,100.0,0.0,CONSTANT,meta_val.parquet,dist_to_active_site
146329,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_val.parquet,lovd_variant_class
146329,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_val.parquet,esm2_delta_norm
146329,0.0,1430,float64,False,2.786,0.0,1.0,0.35866042774295936,0.46511870925106397,,meta_val.parquet,pli_score
146329,0.0,1015,float64,False,0.0,0.05,1.997,0.7364969418228786,0.3985220141396981,,meta_val.parquet,loeuf
146329,0.0,1580,float64,False,2.648,-11.097,4.6439,-0.08327213151801761,1.4920366085128294,,meta_val.parquet,syn_z
146329,0.0,1574,float64,False,2.647,-10.409,8.811,1.5886919329627074,2.6545718720133644,,meta_val.parquet,mis_z
304711,0.0,115193,float64,False,0.0,-0.15282178340590538,11.946649834874396,0.0011448242122935178,1.0016120883238477,,X_test.parquet,af_raw
304711,0.0,115193,float64,False,0.0,-1.065336340409848,2.9699995525600733,0.02468773785714268,0.998704964338083,,X_test.parquet,af_log10
304711,0.0,2,float64,False,0.0,-0.7599178219192426,1.3159317641405066,-0.027524303311363508,0.9919367501691725,,X_test.parquet,af_is_absent
304711,0.0,2,float64,False,0.0,-2.4089316573780213,0.415121781034021,-0.010370877115822146,1.0102326475261652,,X_test.parquet,af_is_ultra_rare
304711,0.0,2,float64,False,0.0,-0.2552750493312928,3.9173432837230098,0.009766343451593345,1.0176785517322378,,X_test.parquet,af_is_rare
304711,0.0,2,float64,False,0.0,-0.22102748199968236,4.524324264805393,0.005252372948375821,1.0112244717120191,,X_test.parquet,af_is_common
304711,0.0,86,float64,False,0.0,-0.007200822375798333,152.517700008788,-0.004238556881969313,0.38754460401587304,,X_test.parquet,ref_len
304711,0.0,141,float64,False,0.0,-0.012657552680299451,210.38858630145128,-0.002932033664500355,0.7919881626878778,,X_test.parquet,alt_len
304711,0.0,173,float64,False,0.0,-0.014057542286684026,184.23501385835638,-0.004038995723623264,0.7419805497093538,,X_test.parquet,len_diff
304711,0.0,2,float64,False,0.0,-4.328925730304573,0.2310041941813685,0.011141798499730937,0.9768406442726463,,X_test.parquet,is_snv
304711,0.0,2,float64,False,0.0,-0.21993304707705277,4.546838291426271,-0.01085658137973001,0.976169419585088,,X_test.parquet,is_insertion
304711,0.0,2,float64,False,0.0,-0.050366655674758856,19.85440539188207,-0.007971740299651343,0.9176403422187337,,X_test.parquet,is_deletion
304711,0.0,2,float64,False,0.0,-0.22618363234323444,4.421186403455121,-0.012445881879095766,0.9734652490215115,,X_test.parquet,is_indel
304711,0.0,7,float64,False,0.0,-1.0636359771865522,3.307194277413998,0.00868411990263389,0.9940944561648686,,X_test.parquet,consequence_severity
304711,0.0,2,float64,False,0.0,-0.23681525210452883,4.222700992073796,-0.014052382524374935,0.9714892379377599,,X_test.parquet,is_loss_of_function
304711,0.0,2,float64,False,0.0,-0.392710965940151,2.5464020277763253,0.03035362646838811,1.0317223421926554,,X_test.parquet,is_missense
304711,0.0,2,float64,False,0.0,-0.7215135390978565,1.3859753778845905,-0.006915920690163932,0.9976757011485835,,X_test.parquet,is_synonymous
304711,0.0,2,float64,False,0.0,-0.165601034821241,6.038609608203569,-0.0022246348894003993,0.9934433809842987,,X_test.parquet,is_splice
304711,0.0,2,float64,False,0.0,-1.061781426171231,0.9418134235084387,0.00779187125959392,0.9995021318187645,,X_test.parquet,in_coding
304711,0.0,7225,float64,False,0.0,-2.340631222380122,6.812807607857778,0.015066448261960748,0.9869696901393327,,X_test.parquet,cadd_phred
304711,0.0,999,float64,False,0.0,-3.2982499057658328,3.7187783145450735,-0.05516876096987343,1.06986449693147,,X_test.parquet,sift_score
304711,0.0,993,float64,False,0.0,-3.0716484882120714,3.1120031755924256,0.031094859322186544,1.0493517350462678,,X_test.parquet,polyphen2_score
304711,0.0,1001,float64,False,0.0,-3.674176978731373,3.9771171904326925,0.029615604605014046,1.0572469126644033,,X_test.parquet,revel_score
304711,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,X_test.parquet,phylop_score
304711,0.0,3576,float64,False,0.0,-6.141207413522868,2.694316292109412,0.027106010750949684,1.0190417606166924,,X_test.parquet,gerp_score
304711,0.0,7498,float64,False,0.0,-3.4314563125057598,3.734407904378608,0.021899581737982617,1.0497877335707058,,X_test.parquet,alphamissense_score
304711,0.0,92,float64,False,0.0,-0.24130547977035444,5.791000550456696,0.004093808643600902,1.0011552659909118,,X_test.parquet,splice_ai_score
304711,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,X_test.parquet,eve_score
304711,0.0,2,float64,False,0.0,-0.3937991876083307,2.539365319855844,0.027234783570837556,1.0284416832336825,,X_test.parquet,cadd_high
304711,0.0,2,float64,False,0.0,-0.24579145409846673,4.068489702654142,0.05878834854752275,1.105112685251215,,X_test.parquet,sift_deleterious
304711,0.0,2,float64,False,0.0,-0.22482148322233725,4.447973501762951,0.047347113886132434,1.0944004342044762,,X_test.parquet,polyphen_probably_damaging
304711,0.0,2,float64,False,0.0,-3.2143613700850233,0.3111037885493094,-0.010226074339628967,1.0146843623804773,,X_test.parquet,revel_pathogenic
304711,0.0,5,float64,False,0.0,-1.7269418537276051,4.274087229301207,0.04522292294450532,1.0889254889157645,,X_test.parquet,n_tools_pathogenic
304711,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,X_test.parquet,gene_constraint_oe
304711,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,X_test.parquet,gene_is_constrained
304711,0.0,173,float64,False,0.0,-0.44052182976497084,3.6383517784981194,-0.08419027343895635,0.6762575217640687,,X_test.parquet,n_pathogenic_in_gene
304711,0.0,2,float64,False,0.0,-2.951092768642985,0.33885752783699685,0.04279428404278662,0.9414775155953735,,X_test.parquet,gene_has_known_disease
304711,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,X_test.parquet,has_uniprot_annotation
304711,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,X_test.parquet,n_known_pathogenic_protein_variants
304711,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,X_test.parquet,gtex_max_tpm
304711,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,X_test.parquet,gtex_n_tissues_expressed
304711,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,X_test.parquet,gtex_tissue_specificity
304711,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,X_test.parquet,gtex_is_eqtl
304711,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,X_test.parquet,gtex_min_eqtl_pval
304711,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,X_test.parquet,gtex_max_abs_effect
304711,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,X_test.parquet,codon_position
304711,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,X_test.parquet,dbsnp_af
304711,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,X_test.parquet,omim_n_diseases
304711,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,X_test.parquet,omim_is_autosomal_dominant
304711,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,X_test.parquet,clingen_validity_score
304711,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,X_test.parquet,hgmd_is_disease_mutation
304711,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,X_test.parquet,hgmd_n_reports
